AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
15,Kesaria,NAJ AHAMAD KHAN,Jan Suraaj Party,11206,-66986,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,SUNIL KUMAR,Independent,4567,-73625,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,CHANDRESHWAR MISHRA,Independent,4342,-73850,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,VINOD KUMAR,Janshakti Janta Dal,3313,-74879,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,RAM SHARAN PRASAD YADAV,Independent,2782,-75410,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,RAM ADHAR RAI,Aam Aadmi Party,2663,-75529,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,CHUTUN KUMAR,Rashtriya Jansambhavna Party,2253,-75939,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,PUNAM DEVI,Independent,2131,-76061,lost,176683,PURVI  CHAMPARAN,GENERAL,2474209
15,Kesaria,NOTA,None of the Above,3382,-74810,,176683,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,89057,15568,won,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,MANOJ KUMAR YADAV,Rashtriya Janata Dal,73489,-15568,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,MANTOSH KUMAR SAHNI,Jan Suraaj Party,5206,-83851,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,MD BADIUZZAMAN,Bahujan Samaj Party,4490,-84567,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,ASHOK KUMAR YADAV,Independent,2605,-86452,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,SUBODH KUMAR,Independent,2512,-86545,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,ARVIND KUMAR PANDEY,Lohiya Janta Dal,2250,-86807,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,NITESH KUMAR SINGH,Independent,1626,-87431,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,MOHIT KUMAR,Jagrook Janta Party,624,-88433,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,RAMBABU DAS,Aam Aadmi Party,579,-88478,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,RAKESH KUMAR PANDIT,Independent,517,-88540,lost,186215,PURVI  CHAMPARAN,GENERAL,2474209
16,Kalyanpur,NOTA,None of the Above,3260,-85797,,186215,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,SHYAM BABU PRASAD YADAV,Bharatiya Janata Party,110422,10745,won,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,RAJMANGAL PRASAD,Communist Party of India (Marxist),99677,-10745,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,SUBODH KUMAR,Jan Suraaj Party,9487,-100935,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,RAJMANGAL PRASAD,Independent,4872,-105550,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,BIPUL KUMAR,Bahujan Samaj Party,4695,-105727,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,RAVIRANJAN KUMAR,Independent,4410,-106012,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,MD MUMTAZ ALAM,Independent,2054,-108368,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,AMIT KUMAR KUSHWAHA,Nationalist Congress Party,2041,-108381,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,KUNDAN KUMAR,Bharat Jan Jagran Dal,1439,-108983,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,SHYAM KUMAR,Kisan Suraj Dal,859,-109563,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,JAGDISH PRASAD,Bajjikanchal Vikas Party,851,-109571,lost,244657,PURVI  CHAMPARAN,GENERAL,2474209
17,Pipra,NOTA,None of the Above,3850,-106572,,244657,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,RANA RANDHIR,Bharatiya Janata Party,86002,5492,won,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,SANDHYA RANI,Rashtriya Janata Dal,80510,-5492,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,VIJAY KUMAR KUSHWAHA,Jan Suraaj Party,5383,-80619,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,SHASHI RANJAN KUMAR ALIAS SONU SINGH,Independent,2647,-83355,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,KUNAL BHUSHAN ALIAS BITTU,Aam Aadmi Party,2602,-83400,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,SYED MOHAMMAD IMAM,Independent,2007,-83995,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,HARISHCHANDRA KUMAR PRASAD,Bahujan Samaj Party,1508,-84494,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,SHIVSHANKAR RAY,Janshakti Janta Dal,1101,-84901,lost,183824,PURVI  CHAMPARAN,GENERAL,2474209
18,Madhuban,NOTA,None of the Above,2064,-83938,,183824,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,PRAMOD KUMAR,Bharatiya Janata Party,106080,13563,won,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,DEWA GUPTA,Rashtriya Janata Dal,92517,-13563,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,ATUL KUMAR,Jan Suraaj Party,6592,-99488,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,DIVYANSHU BHARDWAJ,Independent,2082,-103998,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,BRAJBIHARI YADAV,Independent,1647,-104433,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
19,Motihari,FAKHRE ALAM,Bahujan Samaj Party,1154,-104926,lost,214311,PURVI  CHAMPARAN,GENERAL,2474209
