AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District,Margin_Bucket,<500,0.5-2K,2_10K,10_25K,25_50K,50K_plus,Multi_Cornered_Count
130,Patepur,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,108356,22380,won,209540,VAISHALI,SC,1748252.0,10-25K,0,0,0,1,0,0,2
131,Kalyanpur,MAHESHWAR HAZARI,Janata Dal (United),118162,38586,won,239675,SAMASTIPUR,SC,2115647.0,25-50K,0,0,0,0,1,0,2
132,Warisnagar,MANJARIK MRINAL,Janata Dal (United),108968,34436,won,234783,SAMASTIPUR,GENERAL,2115647.0,25-50K,0,0,0,0,1,0,2
133,Samastipur,ASHWAMEDH DEVI,Janata Dal (United),95728,13875,won,198865,SAMASTIPUR,GENERAL,2115647.0,10-25K,0,0,0,1,0,0,2
134,Ujiarpur,ALOK KUMAR MEHTA,Rashtriya Janata Dal,102707,16283,won,229995,SAMASTIPUR,GENERAL,2115647.0,10-25K,0,0,0,1,0,0,2
135,Morwa,RANVIJAY SAHU,Rashtriya Janata Dal,77770,8671,won,196721,SAMASTIPUR,GENERAL,2115647.0,2-10K,0,0,1,0,0,0,3
136,Sarairanjan,VIJAY KUMAR CHOUDHARY,Janata Dal (United),102792,20798,won,208189,SAMASTIPUR,GENERAL,2115647.0,10-25K,0,0,0,1,0,0,2
137,Mohiuddinnagar,RAJESH KUMAR SINGH,Bharatiya Janata Party,89208,11682,won,183240,SAMASTIPUR,GENERAL,2115647.0,10-25K,0,0,0,1,0,0,2
138,Bibhutipur,AJAY KUMAR,Communist Party of India (Marxist),79246,10281,won,196318,SAMASTIPUR,GENERAL,2115647.0,10-25K,0,0,0,1,0,0,2
139,Rosera,BIRENDRA KUMAR,Bharatiya Janata Party,122773,50533,won,223149,SAMASTIPUR,SC,2115647.0,>50K,0,0,0,0,0,1,2
140,Hasanpur,RAJ KUMAR RAY,Janata Dal (United),90961,7914,won,204712,SAMASTIPUR,GENERAL,2115647.0,2-10K,0,0,1,0,0,0,2
141,Cheria - Bariarpur,ABHISHEK ANAND,Janata Dal (United),75081,4119,won,191316,,,,2-10K,0,0,1,0,0,0,3
142,Bachhwara,SURENDRA MEHTA,Bharatiya Janata Party,100343,15841,won,222847,BEGUSARAI,GENERAL,1307396.0,10-25K,0,0,0,1,0,0,2
143,Teghra,RAJNISH KUMAR,Bharatiya Janata Party,112770,35364,won,212629,BEGUSARAI,GENERAL,1307396.0,25-50K,0,0,0,0,1,0,2
144,Matihani,NARENDRA KUMAR SINGH ALIAS BOGO SINGH,Rashtriya Janata Dal,117789,5290,won,247152,BEGUSARAI,GENERAL,1307396.0,2-10K,0,0,1,0,0,0,2
145,Sahebpur Kamal,SATTANAND SAMBUDDHA ALIAS LALAN JEE,Rashtriya Janata Dal,76798,15721,won,189684,BEGUSARAI,GENERAL,1307396.0,10-25K,0,0,0,1,0,0,3
146,Begusarai,KUNDAN KUMAR,Bharatiya Janata Party,119506,30632,won,228447,BEGUSARAI,GENERAL,1307396.0,25-50K,0,0,0,0,1,0,2
147,Bakhri,SANJAY KUMAR,Lok Janshakti Party (Ram Vilas),98511,17318,won,206637,BEGUSARAI,SC,1307396.0,10-25K,0,0,0,1,0,0,2
148,Alauli,RAM CHANDRA SADA,Janata Dal (United),93208,35732,won,179447,KHAGARIA,SC,795155.0,25-50K,0,0,0,0,1,0,2
149,Khagaria,BABLU KUMAR,Janata Dal (United),93988,23415,won,183237,KHAGARIA,GENERAL,795155.0,10-25K,0,0,0,1,0,0,2
150,Beldaur,PANNA LAL SINGH PATEL,Janata Dal (United),106262,35175,won,217416,KHAGARIA,GENERAL,795155.0,25-50K,0,0,0,0,1,0,2
151,Parbatta,BABULAL SHORYA,Lok Janshakti Party (Ram Vilas),118677,34039,won,215055,KHAGARIA,GENERAL,795155.0,25-50K,0,0,0,0,1,0,2
152,Bihpur,KUMAR SHAILENDRA,Bharatiya Janata Party,91458,30025,won,174555,BHAGALPUR,GENERAL,1513889.0,25-50K,0,0,0,0,1,0,2
153,Gopalpur,SHAILESH KUMAR ALIAS BULO MANDAL,Janata Dal (United),108630,58135,won,191402,BHAGALPUR,GENERAL,1513889.0,>50K,0,0,0,0,0,1,2
154,Pirpainti,MURARI PASAVAN,Bharatiya Janata Party,140608,53107,won,247489,BHAGALPUR,SC,1513889.0,>50K,0,0,0,0,0,1,2
155,Kahalgaon,SHUBHANAND MUKESH,Janata Dal (United),130767,50112,won,251983,BHAGALPUR,GENERAL,1513889.0,>50K,0,0,0,0,0,1,2
156,Bhagalpur,ROHIT PANDEY,Bharatiya Janata Party,100770,13474,won,197146,BHAGALPUR,GENERAL,1513889.0,10-25K,0,0,0,1,0,0,2
157,Sultanganj,LALIT NARAYAN MANDAL,Janata Dal (United),108712,31136,won,209814,BHAGALPUR,GENERAL,1513889.0,25-50K,0,0,0,0,1,0,2
158,Nathnagar,MITHUN KUMAR,Lok Janshakti Party (Ram Vilas),118143,25424,won,241500,BHAGALPUR,GENERAL,1513889.0,25-50K,0,0,0,0,1,0,2
159,Amarpur,JAYANT RAJ,Janata Dal (United),103944,33221,won,194247,BANKA,GENERAL,614830.0,25-50K,0,0,0,0,1,0,2
160,Dhoraiya,MANISH KUMAR,Janata Dal (United),113011,22426,won,220693,,,,10-25K,0,0,0,1,0,0,2
161,Banka,RAM NARAYAN MANDAL,Bharatiya Janata Party,95588,23764,won,192811,BANKA,GENERAL,614830.0,10-25K,0,0,0,1,0,0,2
